cust_id,lookalikes
C0001,"[('C0069', 0.7447713212657288), ('C0120', 0.7078288423588438), ('C0190', 0.6965541372926995)]"
C0002,"[('C0134', 0.739410315210767), ('C0133', 0.6850749027685004), ('C0178', 0.6665403361475828)]"
C0003,"[('C0134', 0.7111248079367462), ('C0031', 0.6940761315604919), ('C0181', 0.6782446995083315)]"
C0004,"[('C0065', 0.802191954432284), ('C0075', 0.7769541767680177), ('C0041', 0.772175926629237)]"
C0005,"[('C0119', 0.6733715861843003), ('C0069', 0.664453081907964), ('C0007', 0.6535303895192239)]"
C0006,"[('C0139', 0.7058517339996956), ('C0171', 0.6983146596524865), ('C0126', 0.6449221990715687)]"
C0007,"[('C0140', 0.7034610770171711), ('C0085', 0.6769544982134813), ('C0020', 0.6652704057861172)]"
C0008,"[('C0162', 0.7572858579573015), ('C0059', 0.7285282027300639), ('C0195', 0.719087843717511)]"
C0009,"[('C0150', 0.7231959964448736), ('C0198', 0.6968750275995002), ('C0083', 0.6858789188678902)]"
C0010,"[('C0077', 0.784218192588094), ('C0034', 0.7472944470238971), ('C0083', 0.7394261764945123)]"
C0011,"[('C0171', 0.7263684503842152), ('C0126', 0.7146160985067748), ('C0153', 0.677758471233894)]"
C0012,"[('C0065', 0.7923684772564039), ('C0163', 0.7417934248786726), ('C0037', 0.7267422074890624)]"
C0013,"[('C0141', 0.7457489354831565), ('C0101', 0.7414410936665998), ('C0099', 0.7328107579171116)]"
C0014,"[('C0097', 0.9121951264603237), ('C0060', 0.8758719869840713), ('C0151', 0.8648187622588617)]"
C0015,"[('C0080', 0.7523221006616522), ('C0078', 0.7250615376378678), ('C0123', 0.6920183729120863)]"
C0016,"[('C0066', 0.8053116648010525), ('C0183', 0.6878624342941773), ('C0192', 0.6858105845883228)]"
C0017,"[('C0075', 0.7554905197869772), ('C0175', 0.7419095670688374), ('C0004', 0.7117880400163621)]"
C0018,"[('C0087', 0.7501200359389293), ('C0068', 0.7267035818750786), ('C0004', 0.7130936828835672)]"
C0019,"[('C0191', 0.779179810124224), ('C0064', 0.7499543246290601), ('C0174', 0.7392652497958605)]"
C0020,"[('C0130', 0.8586846347604649), ('C0150', 0.7142693592716298), ('C0058', 0.7103451364063799)]"
